"","PROBEID","SYMBOL","ENTREZID"
"688","241359_at","TLCD2","727910"
"689","226569_s_at","CHTF18","63922"
"693","219295_s_at","PCOLCE2","26577"
"694","220416_at","ATP8B4","79895"
"695","221950_at","EMX2","2018"
"697","1552797_s_at","PROM2","150696"
"699","1564164_at","DENND1B","163486"
"700","234312_s_at","ACSS2","55902"
"704","227899_at","VIT","5212"
"707","206488_s_at","CD36","948"
"710","230998_at","CBX3","11335"
"711","226694_at","PALM2AKAP2","445815"
"712","229966_at","EWSR1","2130"
"716","227326_at","MXRA7","439921"
"717","211162_x_at","SCD","6319"
"719","202503_s_at","PCLAF","9768"
"721","213007_at","FANCI","55215"
"722","227126_at","PTPRG","5793"
"723","204570_at","COX7A1","1346"
"724","1554789_a_at","PDE8B","8622"
"725","225301_s_at","MYO5B","4645"
"728","228613_at","RAB11FIP3","9727"
"729","213517_at","PCBP2","5094"
"732","214724_at","DIXDC1","85458"
"733","201718_s_at","EPB41L2","2037"
"734","228573_at","ANTXR2","118429"
"735","202870_s_at","CDC20","991"
"736","219616_at","ACSS3","79611"
"737","209895_at","PTPN11","5781"
"738","1566472_s_at","RETSAT","54884"
"739","227372_s_at","BAIAP2L1","55971"
"740","202784_s_at","NNT","23530"
"742","206102_at","GINS1","9837"
"744","224397_s_at","TMTC1","83857"
"746","266_s_at","CD24","100133941"
"747","226433_at","RNF157","114804"
"749","225467_s_at","RDH13","112724"
"750","213935_at","ABHD5","51099"
"753","205726_at","DIAPH2","1730"
"754","227223_at","RBM39","9584"
"755","234996_at","CALCRL","10203"
"758","34726_at","CACNB3","784"
"759","235183_at","FILIP1","27145"
"761","201697_s_at","DNMT1","1786"
"762","206723_s_at","LPAR2","9170"
"763","203683_s_at","VEGFB","7423"
"765","218970_s_at","CUTC","51076"
"767","221610_s_at","STAP2","55620"
"768","222593_s_at","SPATS2","65244"
"769","219770_at","QTMAN","79712"
"770","218414_s_at","NDE1","54820"
"773","203088_at","FBLN5","10516"
"774","1556667_at","FTCDNL1","348751"
"775","221810_at","RAB15","376267"
"776","205404_at","HSD11B1","3290"
"777","207828_s_at","CENPF","1063"
"778","205480_s_at","UGP2","7360"
"779","205428_s_at","CALB2","794"
"780","65517_at","AP1M2","10053"
"781","209283_at","CRYAB","1410"
"782","205498_at","GHR","2690"
"784","227623_at","CACNA2D1","781"
"785","237515_at","TLCD4","148534"
"790","232327_at","THSD7B","80731"
"792","227492_at","OCLN","100506658"
"793","225630_at","EEPD1","80820"
"794","1555216_a_at","TBX2-AS1","103689912"
"795","229493_at","HOXD-AS2","100506783"
"796","221984_s_at","RETREG2","79137"
"797","218180_s_at","EPS8L2","64787"
"799","205554_s_at","DNASE1L3","1776"
"801","201761_at","MTHFD2","10797"
"802","231031_at","FGF7P3","654466"
"803","203323_at","CAV2","858"
"804","242059_at","ETNK1","55500"
"805","209186_at","ATP2A2","488"
"806","206726_at","HPGDS","27306"
"807","223840_s_at","SPATA9","83890"
"812","225162_at","SH3D19","152503"
"814","219719_at","HIGD1B","51751"
"815","202597_at","IRF6","3664"
"816","209297_at","ITSN1","6453"
"819","205756_s_at","F8","2157"
"821","218779_x_at","EPS8L1","54869"
"822","223253_at","EPDR1","54749"
"823","238642_at","ANKRD13D","338692"
"826","204829_s_at","FOLR2","2350"
"827","217888_s_at","ARFGAP1","55738"
"828","205421_at","SLC22A3","6581"
"830","235885_at","P2RY12","64805"
"832","210202_s_at","BIN1","274"
"833","221523_s_at","RRAGD","58528"
"834","214660_at","ITGA1","3672"
"836","229568_at","MOB3B","79817"
"838","225798_at","JAZF1","221895"
"839","204894_s_at","AOC3","8639"
"840","202005_at","ST14","6768"
"841","224064_s_at","DHDDS","79947"
"842","222809_x_at","CCDC85C","317762"
"843","218852_at","PPP2R3C","55012"
"844","222151_s_at","CEP63","80254"
"845","224605_at","ARLN","401152"
"847","60815_at","POLR2J4","84820"
"849","212845_at","SAMD4A","23034"
"850","209326_at","SLC35A2","7355"
"851","45297_at","EHD2","30846"
"852","218792_s_at","BSPRY","54836"
"853","235318_at","FBN1","2200"
"857","213524_s_at","G0S2","50486"
"858","211711_s_at","PTEN","5728"
"860","226877_at","RPL32P3","132241"
"861","230000_at","RNF213","57674"
"862","219561_at","COPZ2","51226"
"863","228584_at","SGCB","6443"
"864","235515_at","SYNE4","163183"
"867","212858_at","PAQR4","124222"
"868","202421_at","IGSF3","3321"
"869","216044_x_at","DIPK1A","388650"
"870","226484_at","ZBTB47","92999"
"871","208837_at","TMED3","23423"
"872","213765_at","MFAP5","8076"
"873","212695_at","CRY2","1408"
"875","202468_s_at","CTNNAL1","8727"
"876","222651_s_at","TRPS1","7227"
"877","204844_at","ENPEP","2028"
"878","236918_s_at","LRRC34","151827"
"879","235282_at","SP2-DT","102724532"
"880","225562_at","RASA3","22821"
"882","220751_s_at","FAXDC2","10826"
"884","208623_s_at","EZR","7430"
"886","228376_at","GGTA1","2681"
"887","235349_at","RMDN2","151393"
"889","226657_at","NATD1","256302"
"891","1555842_at","CYTH2","9266"
"892","235497_at","LINC01128","643837"
"893","235228_at","CCDC85A","114800"
"894","243318_at","DCAF8","50717"
"895","201428_at","CLDN4","1364"
"901","207400_at","NPY5R","4889"
"902","243496_at","RAB18","22931"
"904","235962_at","AZI2","64343"
"906","211749_s_at","VAMP3","9341"
"907","228109_at","RASGRF2","5924"
"908","220016_at","AHNAK","79026"
"909","219563_at","SYNE3","161176"
"910","231118_at","ANKRD35","148741"
"911","1557384_at","ZNF131","7690"
"912","234018_s_at","SEL1L2","80343"
"913","241484_x_at","FRG1CP","100289097"
"914","201650_at","KRT19","3880"
"917","224061_at","INMT","11185"
"919","212384_at","DDX39B","7919"
"920","212384_at","ATP6V1G2-DDX39B","100532737"
"923","216080_s_at","FADS3","3995"
"925","210145_at","PLA2G4A","5321"
"926","202930_s_at","SUCLA2","8803"
"927","221479_s_at","BNIP3L","665"
"928","202220_at","KHDC4","22889"
"929","224746_at","NHSL3","57648"
"930","228011_at","CIBAR1","137392"
"933","209493_at","PDZD2","23037"
"934","210059_s_at","MAPK13","5603"
"935","236600_at","SPART","23111"
"936","202023_at","EFNA1","1942"
"937","222036_s_at","MCM4","4173"
"938","239350_at","MARVELD3","91862"
"939","225950_at","SAMD8","142891"
"941","203986_at","STBD1","8987"
"942","203986_at","FAM47E-STBD1","100631383"
"946","200999_s_at","CKAP4","10970"
"947","223284_at","NAT14","57106"
"948","204026_s_at","ZWINT","11130"
"950","228729_at","CCNB1","891"
"953","210544_s_at","ALDH3A2","224"
"955","202723_s_at","FOXO1","2308"
"958","226855_at","PDP2","57546"
"960","243589_at","KANSL1","284058"
"962","205304_s_at","KCNJ8","3764"
"963","219332_at","MICALL2","79778"
"964","223087_at","ECHDC1","55862"
"967","230395_at","METTL9","51108"
"968","213577_at","SQLE","6713"
"971","213343_s_at","GDPD5","81544"
"972","224762_at","SERINC2","347735"
"973","208456_s_at","RRAS2","22800"
"974","239265_at","SLC35G1","159371"
"975","203400_s_at","TF","7018"
"979","227134_at","SYTL1","84958"
"980","203305_at","F13A1","2162"
"982","244070_at","SYNE1","23345"
"984","206637_at","P2RY14","9934"
"986","205231_s_at","EPM2A","7957"
"987","223266_at","STRADB","55437"
"988","1556053_at","DNAJC7","7266"
"989","215269_at","TRAPPC10","7109"
"991","41660_at","CELSR1","9620"
"992","222537_s_at","CDC42SE1","56882"
"993","217525_at","OLFML1","283298"
"994","227336_at","DTX1","1840"
"997","223595_at","ARHGAP42","143872"
"998","212473_s_at","MICAL2","9645"
"1001","1557458_s_at","SHB","6461"
"1002","1554464_a_at","CRTAP","10491"
"1004","204719_at","ABCA8","10351"
"1008","231998_at","SART1","9092"
"1009","225864_at","LRATD2","157638"
"1011","213150_at","HOXA10","3206"
"1012","205715_at","BST1","683"
"1014","223356_s_at","MTIF3","219402"
"1016","227705_at","TCEAL7","56849"
"1017","230494_at","SLC20A1","6574"
"1019","204112_s_at","HNMT","3176"
"1020","241986_at","BMPER","168667"
"1021","202726_at","LIG1","3978"
"1022","223333_s_at","ANGPTL4","51129"
"1024","209683_at","CYRIA","81553"
"1028","232136_s_at","CTTNBP2","83992"
"1029","223300_s_at","CCDC82","79780"
"1030","235060_at","LOC100190986","100190986"
"1032","241751_at","OFD1","8481"
"1033","203010_at","STAT5A","6776"
"1035","204438_at","MRC1","4360"
"1036","227006_at","PPP1R14A","94274"
"1037","205339_at","STIL","6491"
"1038","242560_at","FANCD2","2177"
"1040","202990_at","PYGL","5836"
"1042","209763_at","CHRDL1","91851"
"1043","1554595_at","SYMPK","8189"
"1044","226550_at","SLC9A7","84679"
"1045","239246_at","FARP1","10160"
"1046","213237_at","KNOP1","400506"
"1047","204476_s_at","PC","5091"
"1048","205345_at","BARD1","580"
"1050","220176_at","NUBPL","80224"
"1052","226403_at","TMC4","147798"
"1053","204591_at","CHL1","10752"
"1054","201177_s_at","UBA2","10054"
"1056","213700_s_at","PKM","5315"
"1057","235360_at","PLEKHM3","389072"
"1058","205034_at","CCNE2","9134"
"1059","226808_at","ZNF862","643641"
"1062","209496_at","RARRES2","5919"
"1063","218723_s_at","RGCC","28984"
"1064","230885_at","SPG7","6687"
"1066","230058_at","ENTR1","10807"
"1068","218883_s_at","CENPU","79682"
"1069","236841_at","WASHC1","100287171"
"1070","202426_s_at","RXRA","6256"
"1071","228730_s_at","SCRN2","90507"
"1072","202107_s_at","MCM2","4171"
"1073","206481_s_at","LDB2","9079"
"1075","209360_s_at","RUNX1","861"
"1076","209360_s_at","LOC100506403","100506403"
"1078","222494_at","FOXN3","1112"
